Nom,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche,Photo,Adresse,Latitude,Longitude,Id,Vérifié
Corcoran's Irish Pub - Grands Boulevards,9:00-2:00,9:00-2:00,9:00-2:00,9:00-3:00,9:00-5:00,11:00-5:00,11:00-2:00,corcorans.jpg (https://dl.airtable.com/mJjwDdOfSHS4cCc3iDTE_corcorans.jpg),"23 Boulevard Poissonnière, 75009 Paris",48.8711471,2.3419551,32,checked
Buddha Bar,18:00-1:00,18:00-1:00,18:00-1:00,18:00-1:00,18:00-3:00,18:00-3:00,18:00-1:00,BBar_Paris.jpg (https://dl.airtable.com/QT5p0z2ERrynApnoMud5_BBar_Paris.jpg),"8-12 Rue Boissy d'Anglas, 75008 Paris",48.8679079,2.3191734,33,checked
Le Quartier Général,,17:00-5:00,17:00-5:00,17:00-5:00,17:00-5:00,17:00-5:00,,quartiergeneralcoub-950x380.jpg (https://dl.airtable.com/eeTLjNiyRoaj5ScRVmPh_quartiergeneralcoub-950x380.jpg),"103 Rue Oberkampf, 75011 Paris",48.8656867,2.374942,34,checked
Le 43,,17:00-22:00,17:00-22:00,17:00-22:00,,,,Up-the-roof.jpg (https://dl.airtable.com/CzB523FdTNaN2S2OmPYe_Up-the-roof.jpg),"4 Rue Danton, 75006 Paris",48.8528053,2.3417201,35,checked
Le 153,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,18:00-2:00,,153.jpg (https://dl.airtable.com/igKZYRTcTFKJO2d4wSzt_153.jpg),"153 Rue Saint-Martin, 75003 Paris",48.8619875,2.3495204,36,checked
Le 138,7:00-2:00,7:00-2:00,7:00-2:00,7:00-2:00,7:00-2:00,7:00-2:00,7:00-2:00,138.jpg (https://dl.airtable.com/uixsLfY6QwqznvgKWkKN_138.jpg),"138 Rue du Faubourg Saint-Antoine, 75012 Paris",48.8504325,2.3772433,37,checked
Les petites Gouttes,,11:00-2:00,11:00-2:00,11:00-2:00,11:00-2:00,11:00-2:00,11:00-19:00,carousel_petites-gouttes-aux.jpg (https://dl.airtable.com/AZIvYLkSBilouweb8Ufq_carousel_petites-gouttes-aux.jpg),"12 Espl. Nathalie Sarraute, 75018 Paris",48.8882807,2.3605043,38,checked
En vrac,10:00-0:00,10:00-0:00,10:00-0:00,10:00-0:00,10:00-0:00,10:00-0:00,10:00-0:00,en-vrac-bar-paris.jpg (https://dl.airtable.com/1tACG0koRMaoBirhulio_en-vrac-bar-paris.jpg),"2 rue de l’Olive, 75018 Paris",48.8901403,2.3591845,39,checked
Brasserie Barbès,8:00-2:30,8:00-2:30,8:00-2:30,8:00-2:30,8:00-2:30,8:00-2:30,8:00-2:30,brasseriebarbes.jpg (https://dl.airtable.com/nbCuLSQHa7VqAzPJwKXA_brasseriebarbes.jpg),"2 Boulevard Barbès, 75018 Paris",48.8839747,2.3475017,42,checked
L'imprévu,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,8:00-2:00,,9:00-2:00,limpr%c3%a9vu.jpg (https://dl.airtable.com/WY5dqdEcTEm8SsqfiAVu_limpr%25c3%25a9vu.jpg),"35 Rue Didot, 75014 Paris",48.8324566,2.3185243,43,checked
Au métro,7:00-1:00,7:00-1:00,7:00-1:00,7:00-1:00,7:00-1:00,7:00-1:00,7:00-1:00,au-metro-14-exterieur-83bfd.jpg (https://dl.airtable.com/x4I6P6wRE6gGt88lkk9A_au-metro-14-exterieur-83bfd.jpg),"66 Rue Raymond Losserand, 75014 Paris",48.8341401,2.3159432,44,checked
Le repaire de Bacchus,,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,10:00-20:00,bacchus.jpg (https://dl.airtable.com/vM0OBv8TP6CFpooGfeKO_bacchus.jpg),"18 Rue Daguerre, 75014 Paris",48.8340075,2.3274493,45,checked
